"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.38495368065778e-78,1.46561596089108,0.251,0.084,6.55594424795144e-74,"0","RAB19"
4.08592834154165e-77,0.514726642868463,0.886,0.637,6.10887146343892e-73,"0","PAXIP1-DT"
1.07463689819157e-76,0.538860454953868,0.842,0.566,1.60668962648621e-72,"0","TMEM161B-DT"
7.5081940631071e-76,1.06772444660162,0.344,0.142,1.12255009437514e-71,"0","SPAG16"
4.0562477796626e-75,0.693733112090552,0.668,0.399,6.06449605537355e-71,"0","GPATCH2L"
4.6376805245562e-75,0.670341725885718,0.648,0.369,6.93379615226397e-71,"0","LINC01107"
5.4361011414818e-74,0.889288231930665,0.516,0.276,8.12751481662944e-70,"0","POLD3"
7.21928129184461e-74,0.539178931745251,0.768,0.499,1.07935474594369e-69,"0","SLCO1A2"
1.29618254907034e-73,0.746949388942661,0.535,0.284,1.93792252911506e-69,"0","PAMR1"
4.12691070659224e-73,0.980604506548856,0.43,0.208,6.17014419742606e-69,"0","COA6"
5.56448758166337e-73,0.668347861534439,0.659,0.384,8.3194653833449e-69,"0","MAB21L4"
6.5058204317124e-72,0.710847708499822,0.616,0.358,9.72685212745321e-68,"0","LEF1"
1.32927201851973e-71,0.674163148447744,0.671,0.409,1.98739459488885e-67,"0","ACVRL1"
8.1281527226537e-70,0.504923171717234,0.849,0.612,1.21524011356396e-65,"0","RILPL2"
1.28654933663215e-69,1.27335471113859,0.292,0.116,1.92351991319873e-65,"0","PGGT1B"
1.74880200764428e-69,0.689627514057831,0.618,0.358,2.61463388162897e-65,"0","PHOSPHO2"
1.79084091109509e-69,0.540774668056738,0.807,0.557,2.67748624617828e-65,"0","SLC5A12"
2.13859771493203e-69,0.648124349453565,0.599,0.328,3.19741744359487e-65,"0","PEX16"
2.55658915233154e-69,0.68392140546695,0.619,0.363,3.82235644165088e-65,"0","SYT7"
2.44965477464738e-68,0.607361291949616,0.708,0.434,3.66247885357529e-64,"0","FBXL17"
3.64541682589432e-68,0.788869553177047,0.525,0.286,5.45026269639459e-64,"0","SPSB3"
6.05109615788056e-68,0.894240985028743,0.481,0.255,9.04699386564722e-64,"0","WBP1L"
1.90066002048077e-67,0.639840347320949,0.702,0.437,2.84167679662079e-63,"0","OTUD7A"
2.66474693552593e-67,0.513859323409278,0.792,0.522,3.98406314330482e-63,"0","LNC-LBCS"
2.95814808049979e-67,0.916050768974877,0.416,0.202,4.42272719515524e-63,"0","CASP14"
8.0475120500691e-66,1.08457383495638,0.304,0.126,1.20318352660583e-61,"0","TACC1"
2.09953933004576e-65,0.837928554337878,0.448,0.228,3.13902125235141e-61,"0","DNAJB2"
3.25597369930101e-65,1.24397868829274,0.272,0.107,4.86800627782494e-61,"0","FGFR1"
5.43846362096881e-65,0.713084104239726,0.483,0.25,8.13104695971047e-61,"0","SLC27A5"
1.31887263235492e-64,1.07630765405937,0.311,0.133,1.97184647263384e-60,"0","TFPT"
8.46996153626826e-64,0.7792493415016,0.503,0.278,1.26634394928747e-59,"0","TUBB6"
1.03785195139773e-63,0.588844688542371,0.702,0.46,1.55169245253474e-59,"0","ZNF470-DT"
3.9541737250598e-63,0.665623521664413,0.616,0.37,5.9118851363369e-59,"0","SFT2D1"
1.18803356577657e-62,0.513127249228846,0.833,0.582,1.77622898419255e-58,"0","PTPRQ"
6.32354913846898e-62,0.838896998457344,0.43,0.222,9.45433831692497e-58,"0","YOD1"
2.41005515194167e-61,0.856953819535037,0.428,0.217,3.60327345766799e-57,"0","LCN15"
3.18801790268301e-61,0.636552034139339,0.619,0.387,4.76640556630137e-57,"0","RAB18"
3.90920085497712e-61,1.19386691204985,0.252,0.098,5.84464619827629e-57,"0","YTHDF2"
4.51148655326505e-61,0.743272174024562,0.501,0.279,6.74512354578657e-57,"0","SCCPDH"
4.84442200698693e-61,0.829835400154033,0.378,0.179,7.24289534264616e-57,"0","ZNF722"
2.00108582319581e-60,0.630431587149181,0.685,0.462,2.99182341426005e-56,"0","OLMALINC"
2.79452160199697e-60,0.608188861766801,0.657,0.407,4.17808924714566e-56,"0","ZNF570"
4.99512580257695e-59,0.566066578873702,0.713,0.476,7.4682125874328e-55,"0","SNX12"
3.76485821258225e-58,0.944032079926694,0.355,0.17,5.62883951363172e-54,"0","MARK2"
1.76138885068892e-57,0.500699475972854,0.75,0.504,2.633452470665e-53,"0","ARHGEF10L"
3.64834897374211e-57,0.580243504204845,0.679,0.44,5.45464655064183e-53,"0","BCL2L11"
